"ScalingFactors","Units","NumPlaces","observationPeriods","MinDate","MeasurementMethods","StatVar"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_ProfessionalScientificTechnicalActivities_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_ProfessionalScientificTechnicalActivities_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_ElectricityGasSteamAndAirConditioner_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_ConstructionSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_ElectricityGasSteamAndAirConditioner_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_ArtsEntertainmentRecreation_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_ProcessingIndustry_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_EducationSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_45To49Years_HumanHealthAndSocialWork_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_ArtsEntertainmentRecreation_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_ElectricityGasSteamAndAirConditioner_Employed_Male"
