"Units","NumPlaces","ScalingFactors","MinDate","observationPeriods","MeasurementMethods","StatVar"
"[USDollar]","5","[]","1996","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryBOL"
"[USDollar]","8","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryZAF"
"[USDollar]","5","[]","1988","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryBRN"
"[USDollar]","51","[]","1983","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderNordicDevelopmentFund"
"[USDollar]","10","[]","2017","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderNewDevelopmentBank"
"[USDollar]","5","[]","1999","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryBRN"
"[USDollar]","7","[]","1997","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryUKR"
"[USDollar]","35","[]","1973","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountrySGP"
"[USDollar]","27","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryZAF"
"[USDollar]","10","[]","1980","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryBFA"
"[USDollar]","5","[]","2006","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySYR"
"[USDollar]","7","[]","1985","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderEconCommoftheGreatLakesCountries"
"[USDollar]","6","[]","1976","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryGAB"
"[USDollar]","5","[]","1990","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderInternationalInvestmentBank"
"[USDollar]","55","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderGermanDemRep"
"[USDollar]","31","[]","1992","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderEuropeanBankforReconstructionandDev"
"[USDollar]","112","[]","1976","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderOPECFundforInternationalDev"
"[USDollar]","44","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryBGR"
"[USDollar]","5","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySLV"
"[USDollar]","7","[]","2000","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryBGD"
"[USDollar]","6","[]","1987","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryBOL"
"[USDollar]","57","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryDNK"
"[USDollar]","22","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryQAT"
"[USDollar]","6","[]","1971","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderWorldBankMIGA"
"[USDollar]","13","[]","1972","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderEntenteCouncil"
"[USDollar]","7","[]","2011","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySEN"
"[USDollar]","28","[]","1992","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryCZE"
"[USDollar]","102","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryGBR"
